StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.2,Q1.3,Q1.4,Q3.1,Q4.1,Q7.2,Q7.3_1,Q7.3_2,Q7.3_4,Q7.3_5,Q7.3_6,Q16.2,Q16.3_1,Q16.3_2,Q16.3_3,Q16.3_4,Q16.3_5,Q16.3_10,Q32.2,Q32.3_1,Q32.3_2,Q32.3_4,Q32.3_5,Q32.3_10,Q41.2,Q41.3_1,Q41.3_2,Q41.3_3,Q41.3_4,Q41.3_5,Q41.3_10,Q57.2,Q57.3_9,Q57.3_10,Q57.3_12,Q57.3_13,Q57.3_18,Q66.2,Q66.3_9,Q66.3_10,Q66.3_12,Q66.3_13,Q66.3_18,Q82.2,Q82.3_9,Q82.3_10,Q82.3_12,Q82.3_13,Q82.3_18,Q91.2,Q91.3_9,Q91.3_10,Q91.3_12,Q91.3_13,Q91.3_18,Q107.2,Q107.3_9,Q107.3_10,Q107.3_12,Q107.3_13,Q107.3_18,Q116.2,Q116.3_9,Q116.3_10,Q116.3_12,Q116.3_13,Q116.3_18,Q132.2,Q132.3_17,Q132.3_18,Q132.3_20,Q132.3_21,Q132.3_26,Q141.2,Q141.3_17,Q141.3_18,Q141.3_20,Q141.3_21,Q141.3_26,Q157.2,Q158.2,Random ID,Fail ID
2022-01-01 10:11:07,2022-01-01 10:27:01,IP Address,154.13.48.31,100,954,True,2022-01-01 10:27:01,R_1KcZnZ9pZymquzg,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,G,Their,The men goes to school every day.,Yes,Yes,Forest,4,4,4,4,4,Wisdom,4,4,4,4,4,4,Love,4,3,4,4,4,Death,4,4,4,4,4,5,Forest,4,4,4,4,5,Death,3,4,4,4,3,Forest,4,4,5,4,5,Death,4,4,4,4,4,Forest,5,5,5,4,5,Love,4,4,5,4,4,Love,4,4,4,4,4,Forest,4,4,4,4,4,"29164 ",,29164,60
2022-01-01 10:01:08,2022-01-01 10:28:51,IP Address,172.107.203.6,100,1662,True,2022-01-01 10:28:51,R_3Gy2vfBSPR7BWJm,,,,,32.8137054443359375,-96.87039947509765625,anonymous,EN,1,G,Their,The men goes to school every day.,Yes,Yes,Forest,4,4,5,4,5,Darkness,4,4,5,4,4,5,Death,3,3,4,4,2,Love,3,4,4,4,4,3,Forest,4,3,4,4,4,Death,5,5,4,4,4,Wisdom,3,3,4,4,2,Death,3,3,4,4,4,Forest,4,4,4,4,1,Love,5,5,5,4,3,Wisdom,3,3,3,4,4,Love,4,4,4,4,4,19060,,19060,83
2022-01-01 10:25:04,2022-01-01 10:30:16,IP Address,45.41.224.47,100,312,True,2022-01-01 10:30:16,R_5gKHPBA7jCyh3Gx,,,,,36.038299560546875,-115.14459991455078125,anonymous,EN,1,G,They're,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"119 ",27978,119
2022-01-01 10:30:24,2022-01-01 10:32:11,IP Address,45.41.224.47,100,107,True,2022-01-01 10:32:11,R_2E6knoCfRkSaaQP,,,,,36.038299560546875,-115.14459991455078125,anonymous,EN,1,G,They're,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIAMNC33U9J1R,82187,36
2022-01-01 10:32:25,2022-01-01 10:33:09,IP Address,45.41.224.47,100,43,True,2022-01-01 10:33:09,R_spyuN93yguLtWGl,,,,,36.038299560546875,-115.14459991455078125,anonymous,EN,1,G,They're,The men goes to school every day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"176 ",43914,176
2022-01-01 10:15:58,2022-01-01 10:33:10,IP Address,154.127.53.23,100,1031,True,2022-01-01 10:33:10,R_3ElM1hHTIpos2rt,,,,,38.960906982421875,-77.34290313720703125,anonymous,EN,0.800000011920928955078125,G,Their,"The man goes to school every day.,The men goes to school every day.",No,Yes,Forest,3,4,3,4,4,Wisdom,3,4,3,4,4,4,Death,4,3,4,5,4,Darkness,3,2,3,4,3,4,Forest,4,3,4,4,3,Death,3,3,4,4,4,Darkness,4,4,4,4,3,Love,4,4,4,4,5,Forest,4,4,3,4,4,Death,3,3,4,4,5,Love,3,3,4,4,3,Forest,4,3,4,4,4,61867,,61867,177
2022-01-01 10:21:31,2022-01-01 10:33:43,IP Address,45.90.222.7,100,732,True,2022-01-01 10:33:43,R_1mymdE1JmNQVfrd,,,,,34.0543975830078125,-118.2440948486328125,anonymous,EN,1,G,Their,The men goes to school every day.,Yes,Yes,Forest,5,4,4,4,5,Love,4,5,5,4,5,4,Love,2,3,2,4,2,Other,3,3,5,2,4,2,Forest,3,3,3,4,3,Love,4,4,4,4,4,Other,3,4,3,4,2,Love,4,5,5,4,5,Forest,4,4,5,4,5,Other,2,4,2,4,2,Other,4,4,5,5,4,Love,5,4,5,5,4,"83524 ",,83524,156
2022-01-01 10:33:14,2022-01-01 10:33:57,IP Address,45.41.224.47,100,43,True,2022-01-01 10:33:58,R_3JwkxvpcLGlyUbX,,,,,36.038299560546875,-115.14459991455078125,anonymous,EN,1,G,They're,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166 ",79942,166
2022-01-01 10:00:47,2022-01-01 10:43:22,IP Address,154.6.17.6,100,2555,True,2022-01-01 10:43:23,R_TaXHBGao79g1pyV,,,,,40.7487945556640625,-73.9882965087890625,anonymous,EN,0.89999997615814208984375,G,Their,The men goes to school every day.,No,Yes,Forest,4,4,4,4,4,Love,2,3,3,4,4,3,Wisdom,1,2,2,4,1,Wisdom,3,4,4,3,4,4,Forest,3,4,2,4,1,Death,5,4,4,4,5,Love,3,3,4,4,4,Death,3,3,3,4,2,Forest,2,1,1,4,1,Death,4,3,4,4,4,Love,4,4,4,4,2,Wisdom,2,3,3,4,2,35981,,35981,132
2022-01-01 10:44:31,2022-01-01 10:45:36,IP Address,104.156.203.238,100,64,True,2022-01-01 10:45:36,R_cSC08nXkJQSrsYN,,,,,47.61090087890625,-122.33029937744140625,anonymous,EN,0.89999997615814208984375,G,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,67390,49
2022-01-01 10:47:34,2022-01-01 11:02:59,IP Address,208.195.26.111,100,925,True,2022-01-01 11:03:00,R_cABnfWFWVYmjN8R,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,,G,Their,The men goes to school every day.,Yes,Yes,Love,4,4,3,3,4,Wisdom,4,3,4,4,3,4,Death,3,4,3,4,4,Love,4,4,3,4,4,4,Forest,4,4,3,4,4,Death,4,4,3,4,4,Forest,3,3,4,4,3,Death,4,3,4,4,3,Forest,3,3,4,4,3,Death,4,4,4,3,4,Love,4,3,3,4,4,Other,4,4,3,4,4,"69080 ",,69080,74
2022-01-01 11:03:02,2022-01-01 11:04:59,IP Address,208.195.31.24,100,116,True,2022-01-01 11:04:59,R_2sU88A9wbLJwLHz,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,G,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,85289,144
2022-01-01 11:04:19,2022-01-01 11:05:19,IP Address,154.13.59.40,100,60,True,2022-01-01 11:05:19,R_2COj55DFh9fnkKN,,,,,39.046905517578125,-77.49030303955078125,anonymous,EN,0.89999997615814208984375,,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,70056,6
2022-01-01 11:05:25,2022-01-01 11:05:55,IP Address,154.13.59.40,100,29,True,2022-01-01 11:05:56,R_b2EKFgTgHWo656p,,,,,39.046905517578125,-77.49030303955078125,anonymous,EN,0.89999997615814208984375,,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,39970,121
2022-01-01 11:05:59,2022-01-01 11:06:22,IP Address,154.13.59.40,100,23,True,2022-01-01 11:06:23,R_wYl0kuYlmhr23kd,,,,,39.046905517578125,-77.49030303955078125,anonymous,EN,0.89999997615814208984375,,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3Q4MHIC511BE1,12976,165
2022-01-01 11:06:01,2022-01-01 11:06:29,IP Address,154.21.219.26,100,28,True,2022-01-01 11:06:29,R_eyT6jXBxm9v1tKh,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,0.800000011920928955078125,Apples,They're,The man goes to school every day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,70112,125
2022-01-01 11:07:03,2022-01-01 11:07:43,IP Address,154.21.219.26,100,40,True,2022-01-01 11:07:44,R_3HMrCcDv7yBus6J,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,0.800000011920928955078125,B,There,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,79411,87
2022-01-01 11:00:02,2022-01-01 11:08:12,IP Address,206.54.198.154,100,489,True,2022-01-01 11:08:12,R_2E0tQEwtfLzktA6,,,,,29.5720062255859375,-95.54000091552734375,anonymous,EN,1,G,Their,The men goes to school every day.,No,Yes,Forest,4,4,3,4,5,Other,3,4,3,2,4,5,Other,2,2,2,4,1,Wisdom,4,3,2,3,4,2,Forest,4,5,3,4,5,Death,1,1,1,4,1,Wisdom,5,2,3,4,2,Death,2,1,3,4,2,Forest,1,4,1,4,5,Other,2,3,2,4,4,Love,5,4,5,4,5,Love,3,2,4,4,5,"21520 ",,21520,18
2022-01-01 10:58:18,2022-01-01 11:10:47,IP Address,81.161.5.53,100,749,True,2022-01-01 11:10:48,R_31uzxC7Q0NPnegd,,,,,40.766204833984375,-74.01779937744140625,anonymous,EN,0.89999997615814208984375,G,Their,The men goes to school every day.,Yes,No,Other,5,4,5,3,3,Other,5,3,4,2,5,4,Love,5,3,2,4,5,Other,5,4,3,4,5,5,Forest,4,5,3,4,5,Death,5,4,3,5,4,Wisdom,4,3,5,5,3,Death,3,3,4,5,2,Forest,4,5,3,5,4,Death,5,3,4,2,5,Love,5,4,3,2,1,Love,4,3,4,4,5,57918,,57918,173
2022-01-01 11:03:50,2022-01-01 11:16:11,IP Address,72.239.44.102,100,740,True,2022-01-01 11:16:11,R_XsT41gwXoq1n3fH,,,,,28.57269287109375,-80.8206024169921875,anonymous,EN,1,G,Their,The men goes to school every day.,No,Yes,Love,5,5,4,4,5,Love,4,5,4,3,4,2,Other,4,4,2,4,1,Other,1,3,1,2,4,2,Forest,3,5,2,4,2,Death,1,5,1,4,4,Wisdom,1,2,2,4,1,Death,4,5,5,4,3,Other,1,3,1,4,2,Other,1,1,1,4,1,Love,5,5,5,4,5,Love,1,3,3,4,1,43208,,43208,25
2022-01-01 11:02:25,2022-01-01 11:20:06,IP Address,67.253.201.215,100,1061,True,2022-01-01 11:20:07,R_30osGlMwbigjTGG,,,,,43.21380615234375,-77.45749664306640625,anonymous,EN,1,G,Their,The men goes to school every day.,No,Yes,Other,4,4,2,4,4,Other,1,3,4,4,4,2,Other,3,1,1,4,1,Other,3,3,2,1,4,1,Other,4,2,1,4,1,Other,1,4,1,4,2,Wisdom,2,3,1,4,1,Death,4,4,4,4,5,Forest,2,4,1,4,3,Darkness,1,5,2,4,3,Love,2,5,3,4,4,Love,4,5,4,4,3,35031,,35031,58
2022-01-01 11:21:50,2022-01-01 11:24:10,IP Address,24.118.253.73,100,139,True,2022-01-01 11:24:10,R_3eehowogIzDwObA,,,,,44.8961944580078125,-93.10359954833984375,anonymous,EN,1,G,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,81774,196
2022-01-01 11:23:46,2022-01-01 11:28:20,IP Address,208.203.209.248,100,273,True,2022-01-01 11:28:20,R_6KHs3yHqLRCZumd,,,,,39.9844970703125,-75.58599853515625,anonymous,EN,0.89999997615814208984375,G,There,The man goes to school every day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AZLN8J1Z73EHY,13761,176
2022-01-01 11:15:21,2022-01-01 11:29:20,IP Address,63.75.255.172,100,839,True,2022-01-01 11:29:20,R_2ClhNYlFRlJW2VR,,,,,40.856597900390625,-74.838897705078125,anonymous,EN,0.89999997615814208984375,G,Their,The men goes to school every day.,Yes,Yes,Wisdom,2,2,3,4,3,Other,2,3,3,3,4,3,Other,3,3,2,4,3,Other,2,2,2,3,4,3,Other,2,3,2,4,3,Death,2,3,2,4,2,Love,3,3,2,4,3,Death,2,2,3,3,2,Wisdom,3,2,2,4,3,Death,2,2,2,4,2,Wisdom,2,4,2,4,3,Wisdom,3,4,4,4,4,18525,,18525,137
2022-01-01 11:31:00,2022-01-01 11:33:09,IP Address,208.203.209.248,100,128,True,2022-01-01 11:33:09,R_3kyLUxRh4JJU0RP,,,,,39.9844970703125,-75.58599853515625,anonymous,EN,0.800000011920928955078125,G,Their,The man goes to school every day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,69893,1
2022-01-01 11:41:30,2022-01-01 11:48:04,IP Address,71.82.201.101,100,393,True,2022-01-01 11:48:04,R_25WlGM80wutc8A6,,,,,45.01300048828125,-84.67189788818359375,anonymous,EN,0.89999997615814208984375,G,Their,The man goes to school every day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,66311,128
2022-01-01 11:48:19,2022-01-01 11:51:40,IP Address,71.82.201.101,100,201,True,2022-01-01 11:51:41,R_22RoCQnbqpHjQGu,,,,,45.01300048828125,-84.67189788818359375,anonymous,EN,0.89999997615814208984375,G,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,66196,95
2022-01-01 11:11:23,2022-01-01 11:53:38,IP Address,81.161.4.59,100,2535,True,2022-01-01 11:53:38,R_2QGoScwHEBsUwAa,,,,,40.766204833984375,-74.01779937744140625,anonymous,EN,0.800000011920928955078125,G,Their,The men goes to school every day.,Yes,Yes,Forest,4,3,2,5,5,Other,5,3,2,4,3,5,Love,1,3,2,4,5,Other,5,3,2,4,4,5,Forest,5,4,3,2,1,Death,3,2,4,5,2,Wisdom,2,2,3,3,4,Death,5,4,3,5,4,Forest,5,4,3,5,5,Other,5,4,3,3,5,Love,5,3,3,3,5,Love,2,3,4,5,5,"10653 ",,10653,56
2022-01-01 11:49:46,2022-01-01 11:58:54,IP Address,65.96.191.159,100,548,True,2022-01-01 11:58:54,R_3IYkY2dw5p40QpL,,,,,41.7599029541015625,-72.7574005126953125,anonymous,EN,1,G,Their,The men goes to school every day.,No,Yes,Other,5,4,2,4,4,Darkness,2,1,3,1,4,1,Other,4,3,3,4,3,Other,2,3,1,1,4,3,Forest,4,3,3,4,4,Other,1,1,1,4,1,Other,5,4,3,4,3,Death,4,4,4,4,3,Forest,1,2,1,4,1,Other,2,3,1,4,1,Wisdom,4,4,2,4,2,Love,4,4,5,4,4,31652,,31652,161
2022-01-01 11:51:47,2022-01-01 12:04:12,IP Address,71.82.201.101,100,745,True,2022-01-01 12:04:12,R_VJY2MnI1zFqLR1n,,,,,45.01300048828125,-84.67189788818359375,anonymous,EN,0.89999997615814208984375,G,Their,The men goes to school every day.,No,Yes,Forest,3,4,4,4,4,Wisdom,3,4,3,3,4,4,Wisdom,3,4,3,4,4,Darkness,3,3,3,3,3,4,Wisdom,3,4,4,4,4,Forest,3,4,3,3,3,Darkness,3,4,4,3,4,Love,4,3,3,4,4,Forest,4,5,4,3,3,Death,3,4,4,4,4,Love,3,4,4,3,4,Love,4,4,4,3,4,"82159 ",,82159,196
2022-01-01 12:16:55,2022-01-01 12:18:11,IP Address,50.231.89.39,100,76,True,2022-01-01 12:18:12,R_9zsqsRtPI54yPeN,,,,,40.7156982421875,-74,anonymous,EN,0.89999997615814208984375,G,Their,The man goes to school every day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14461,3
2022-01-01 12:18:18,2022-01-01 12:18:48,IP Address,50.231.89.39,100,30,True,2022-01-01 12:18:48,R_2UYHU5aimHHeP33,,,,,40.7156982421875,-74,anonymous,EN,0.89999997615814208984375,G,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"170 ",23683,170
2022-01-01 13:13:03,2022-01-01 13:14:39,IP Address,208.195.19.162,100,96,True,2022-01-01 13:14:40,R_3DpYqDYDoZ42yLE,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,0.699999988079071044921875,G,Their,The men go to school every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,42575,192
2022-01-01 13:14:58,2022-01-01 13:21:32,IP Address,208.195.19.162,100,394,True,2022-01-01 13:21:33,R_Wp8HnF47M4C4XOF,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,1,G,Their,The men goes to school every day.,No,Yes,Forest,2,4,3,4,3,Love,4,3,3,4,4,3,Love,3,2,3,3,2,Other,2,3,3,2,3,4,Darkness,3,2,3,4,3,Death,2,3,3,4,3,Wisdom,3,2,3,3,4,Darkness,3,2,3,4,2,Forest,3,3,2,3,3,Love,3,2,3,3,4,Forest,2,2,3,3,2,Love,2,4,3,3,4,29602,,29602,117
2022-01-01 13:27:29,2022-01-01 13:33:33,IP Address,208.195.19.162,100,363,True,2022-01-01 13:33:33,R_1jxf3iQMTwiJKmq,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,0.89999997615814208984375,G,Their,The men goes to school every day.,No,No,Wisdom,2,4,3,2,3,Darkness,3,3,2,4,3,3,Other,2,3,4,3,3,Darkness,3,2,2,3,2,3,Wisdom,2,3,3,3,3,Death,3,3,3,4,4,Death,4,4,3,4,3,Love,4,3,4,3,2,Forest,3,2,2,2,4,Other,1,3,3,4,3,Wisdom,2,3,4,3,4,Darkness,3,3,4,3,4,"34352 ",,34352,38
2022-01-01 16:48:35,2022-01-01 17:07:16,IP Address,173.198.160.217,100,1120,True,2022-01-01 17:07:16,R_3R41cuDr5LAeZ9v,,,,,43.9600982666015625,-111.69750213623046875,anonymous,EN,1,G,Their,The men goes to school every day.,No,Yes,Other,4,4,5,4,5,Other,3,3,4,4,4,4,Other,3,3,3,4,5,Wisdom,2,1,1,2,4,1,Forest,2,1,1,4,4,Other,2,2,2,4,3,Other,2,1,2,4,4,Death,2,1,2,4,1,Other,1,2,2,4,3,Darkness,2,2,3,4,4,Wisdom,3,3,4,4,5,Love,4,2,5,4,5,76846,,76846,193
